2025-05-24 17:09:51.576,testUser,S0,E1,S1
2025-05-24 17:09:51.686,testUser,S1,E2,S2
2025-05-24 17:09:51.852,testUser,S2,E3,S3
2025-05-24 17:09:51.905,testUser,S3,E4,S4
2025-05-24 17:09:52.008,testUser,S4,E1,S1
2025-05-24 17:09:52.094,testUser,S1,E2,S2
2025-05-24 17:09:52.205,testUser,S2,E3,S3
2025-05-24 17:09:52.325,testUser,S3,E4,S4
2025-05-24 17:09:52.504,testUser,S4,E1,S1
2025-05-24 17:09:52.643,testUser,S1,E2,S2
2025-05-24 17:09:52.782,testUser,S2,E3,S3
2025-05-24 17:09:52.942,testUser,S3,E4,S4
2025-05-24 17:09:53.004,testUser,S4,E1,S1
2025-05-24 17:09:53.164,testUser,S1,E2,S2
2025-05-24 17:09:53.287,testUser,S2,E3,S3
2025-05-24 17:09:53.366,testUser,S3,E5,S5
2025-05-24 17:09:53.485,testUser,S5,E0,S0
2025-05-24 17:09:53.652,testUser,S0,E1,S1
2025-05-24 17:09:53.825,testUser,S1,E2,S2
2025-05-24 17:09:53.931,testUser,S2,E3,S3
2025-05-24 17:09:54.126,testUser,S3,E4,S4
2025-05-24 17:09:54.205,testUser,S4,E1,S1
2025-05-24 17:09:54.389,testUser,S1,E2,S2
2025-05-24 17:09:54.488,testUser,S2,E3,S3
2025-05-24 17:09:54.559,testUser,S3,E4,S4
2025-05-24 17:09:54.737,testUser,S4,E1,S1
2025-05-24 17:09:54.932,testUser,S1,E2,S2
2025-05-24 17:09:55.009,testUser,S2,E3,S3
2025-05-24 17:09:55.146,testUser,S3,E5,S5
2025-05-24 17:09:55.275,testUser,S5,E0,S0
2025-05-24 17:09:55.414,testUser,S0,E1,S1
2025-05-24 17:09:55.613,testUser,S1,E2,S2
2025-05-24 17:09:55.801,testUser,S2,E3,S3
2025-05-24 17:09:55.910,testUser,S3,E4,S4
2025-05-24 17:09:56.083,testUser,S4,E1,S1
2025-05-24 17:09:56.234,testUser,S1,E2,S2
2025-05-24 17:09:56.378,testUser,S2,E3,S3
2025-05-24 17:09:56.541,testUser,S3,E4,S4
2025-05-24 17:09:56.648,testUser,S4,E1,S1
2025-05-24 17:09:56.827,testUser,S1,E2,S2
2025-05-24 17:09:56.970,testUser,S2,E3,S3
2025-05-24 17:09:57.170,testUser,S3,E4,S4
2025-05-24 17:09:57.261,testUser,S4,E1,S1
2025-05-24 17:09:57.449,testUser,S1,E2,S2
2025-05-24 17:09:57.569,testUser,S2,E3,S3
2025-05-24 17:09:57.665,testUser,S3,E4,S4
2025-05-24 17:09:57.727,testUser,S4,E1,S1
2025-05-24 17:09:57.917,testUser,S1,E2,S2
2025-05-24 17:09:58.112,testUser,S2,E3,S3
2025-05-24 17:09:58.231,testUser,S3,E4,S4
